lat,lon,name,capacity,region_id,station_id
35.478819,133.04884,M05.塩見縄手,6,2,5053
34.65475,133.916793,M088.ファミリーマート岡山大供二丁目店,5,1,6061
43.061849,141.351192,19.北1条通西4丁目,20,1,86020
34.6817,135.7939,48.布袋屋,3,1,4415
35.760939,139.609264,T2-54.土支田農業公園,8,9,1131
31.82902,131.41507,宮崎大学木花キャンパス　工学部北側駐輪ポート,3,1,4170
35.68991,139.69026,D6-05.新宿中央公園（水の広場）,8,5,10188
34.39497,132.48885,187.サンクレスト,0,1,4614
26.205044,127.673074,T-27.奥武山公園(県立武道館前),5,1,4737
34.710614,135.487772,A-96.ウメキタテラス,8,1,5696
34.685473,135.51654,B-14.グランパシフィック天満橋,6,2,7848
32.078609,131.467645,空の駅竜馬ポート,4,1,4379
34.665493,135.492,E-59.ナンバプレミアムグレース,5,2,4122
35.66249,139.741397,C2-12.六本木ファーストビル,18,3,10252
35.110325,136.977466,757.ファミリーマート天白一つ山店,1,1,5530
34.45792,135.56387,河内長野市役所,10,1,4172
34.343616,134.048278,045.三菱UFJ銀行高松支店,4,1,5433
35.156133,136.906367,583.名鉄協商パーキング上前津2丁目,2,1,4318
34.40262,132.47307,205.d_ll HIROSHIMA,10,1,5535
34.508023,135.442075,和泉市 北信太仮設駐輪場,2,1,4045
34.685205,135.544714,L-23.グリーンコーポ緑橋,4,1,4245
35.135786,136.88859,755.ファミリーマート熱田切戸町店,6,1,5533
36.367034,136.451582,08.木場潟公園中央園地【拠点ポート】,5,1,1396
34.71463,135.50617,A-89.エステムコート梅田・天神橋2グラシオ1,6,2,4357
36.578046,136.597897,76.いしかわ総合スポーツセンター,3,1,1195
34.680968,133.90968,M080.ローソン岡山伊島店,2,1,5880
34.649664,135.521223,F-26.大道4-3-25,3,1,4331
35.202974,136.949985,565.ぽかぽか温泉新守山乃湯,5,1,4032
34.734907,135.47826,K-38.塩野香料株式会社,6,1,5445
36.36297,138.21735,U-15.下之郷駅,3,1,813
43.059172,141.345456,13.大通西8丁目エフロクマル前,15,1,3149
35.700241,139.734338,D2-20.VORT神楽坂Ⅰ,4,5,5337
34.647549,135.470829,P-23.ローソン大正小林西一丁目店,10,2,4743
34.38854,132.46496,211.中央PARK,30,1,5718
34.65242,135.49554,E-53.エステムコート難波サウスプレイス3ラ・パーク1,7,2,3760
35.699835,139.70808,D4-11.トヨタモビリティ東京 東新宿店,2,5,1997
35.678107,139.838687,H1-236.愛育メディカルセンター,10,4,4165
34.681887,135.818322,13.ホテル日航奈良北,0,1,75014
35.685344,139.80234,H1-187.森下文化センター,5,4,1494
38.277861,140.857757,161.荘嚴寺会館,8,1,4615
34.671658,135.47005,D-39.グルメシティ九条店,7,2,4186
31.915928,131.424515,Y・YPARKポート,11,1,5539
34.650189,135.464138,P-26.ローソン マリンテニスパーク北村店,10,2,5822
35.557427,139.739126,K1-129.ローソン東糀谷一丁目店,6,7,869
34.50145,135.43591,和泉市立北部総合福祉会館,10,1,4044
35.639334,139.596687,L1-39.オダクル成城学園前第２,13,17,4471
34.6891,135.8137,46.大奥マンション,2,1,4213
35.154024,136.904978,579.名鉄協商パーキング下前津第3,0,1,4171
35.134915,136.865603,674.コンフォート宮脇町,0,1,4902
34.470984,135.467176,和泉市伏屋町4丁目付近,11,1,4581
34.682222,135.479503,D-41.中之島GATEサウスピア,10,2,4187
35.166587,137.011123,754.ファミリーマート名東貴船二丁目店,3,1,5529
35.178584,136.876741,753.OT.residence名駅,5,1,5536
35.46747,133.04609,M02.松江しんじ湖温泉駅,3,2,5051
34.39645,132.45832,174.県庁しばふひろば,14,1,4124
35.361058,132.75609,I01.出雲市駅,6,1,4254
35.676119,139.772895,B2-04.清水建設本社（都営地下鉄宝町駅 Ａ８出口）,20,2,10056
35.135013,136.962585,606.名鉄協商パーキング八事天道第2,4,1,4534
35.583425,139.716247,K1-205.アーバンリトリート 西馬込,3,7,4664
35.650948,139.799711,H1-120.豊洲5丁目,13,4,10847
35.191315,136.946394,660.名鉄協商パーキングナゴヤドーム北,5,1,5813
32.117115,131.388039,西都原このはな館ポート,5,1,4238
36.406262,136.441028,25.桜木町交差点【簡易ポート】,10,1,5717
35.578239,139.759175,K1-187.ＴＳＫビル,31,7,4126
36.396846,136.451256,24.土居原町南【簡易ポート】,9,1,5716
36.547518,136.64276,61.ローソン金沢泉店,2,1,89062
35.703893,139.766866,E5-35.湯島２丁目,6,6,4204
34.668417,133.918547,M081.ローソン岡山奉還町一丁目店,7,1,5881
35.191997,137.000463,801.ローソン名東区引山店,6,1,6027
